credit_score,income,loan_amount,loan_term,employment_status,property_value,loan_purpose,down_payment,residence_type,monthly_debt,fraud
765,43114.13,225646.51,15,self-employed,236824.71,home_improvement,23874.16,investment,1117.3098964886951,0
666,52563.22,197715.78,15,unemployed,278346.46,home_improvement,12423.74,primary,623.1088493779056,0
731,62165.59,202504.23,15,self-employed,392598.25,home_improvement,28345.57,investment,474.65613949907186,0
778,76197.28,175118.04,20,unemployed,323918.78,refinance,38040.91,primary,1835.466138304663,0
821,45702.65,177162.88,25,self-employed,282364.38,home_improvement,37860.89,secondary,492.9292662948962,0
614,51245.34,176850.65,30,employed,400937.06,refinance,22401.56,secondary,251.58416643899506,0
807,56318.91,222881.69,15,employed,238439.05,purchase,31693.5,primary,1810.0378811629794,0
707,77358.19,232639.55,10,employed,281474.47,home_improvement,12432.28,primary,2026.1894051248173,0
667,63054.16,220240.51,30,unemployed,259605.8,purchase,39728.57,primary,618.7324759438595,0
778,66644.84,233031.86,10,unemployed,220366.45,refinance,45330.12,primary,667.8620899640277,0
504,22195.77,263231.52,15,self-employed,311161.39,home_improvement,14751.14,secondary,432.1729478519163,1
639,69941.04,157191.86,30,unemployed,322032.15,home_improvement,49857.71,investment,1625.1566349573623,0
763,51092.88,167784.29,20,self-employed,427194.47,home_improvement,31582.71,primary,892.1358850951997,0
782,51320.24,174190.46,15,employed,191029.77,home_improvement,31837.85,primary,1066.8409545373495,0
772,71102.88,195382.34,15,unemployed,292451.57,purchase,39489.73,primary,1779.480016514616,0
601,35125.05,239279.98,30,self-employed,306945.11,purchase,20258.93,investment,932.8752674208271,0
796,78528.84,189371.49,30,self-employed,306035.85,refinance,16830.58,investment,2167.3656774225465,0
675,42329.93,243975.58,30,unemployed,286946.18,purchase,12572.06,secondary,334.9104219822053,0
699,35416.1,241397.24,10,unemployed,321627.53,purchase,17438.03,secondary,499.768508837032,0
787,56360.94,194489.32,20,self-employed,229214.9,refinance,40935.84,secondary,1392.641260015183,0
725,69656.98,211121.33,30,self-employed,243903.66,purchase,12352.3,primary,300.7983723848275,0
655,43406.26,234606.12,25,employed,195973.87,home_improvement,42996.83,investment,666.409290430093,0
546,-583.12,185388.07,15,employed,259615.84,refinance,5732.33,investment,-12.20872401461735,1
781,71718.3,180664.08,30,employed,308595.48,refinance,46850.44,investment,1565.6970165568225,0
617,77454.75,188553.58,30,self-employed,291992.93,refinance,24330.85,secondary,2156.073208234776,0
615,68981.23,223571.51,25,employed,407539.14,refinance,47285.83,primary,302.91778354208964,0
735,57375.32,171974.98,25,employed,346171.79,refinance,33024.25,secondary,1804.8587067003343,0
795,72057.4,223373.74,30,unemployed,306223.96,purchase,44124.52,investment,1815.2963950402968,0
708,39032.6,183443.69,30,self-employed,340802.17,refinance,27188.03,secondary,884.0181195683721,0
625,84576.91,204218.72,15,unemployed,315059.68,purchase,38250.28,primary,1407.993425663946,0
503,39023.85,163282.22,20,unemployed,318132.69,home_improvement,7553.04,secondary,693.8283899291991,1
808,31533.05,251752.46,15,unemployed,312062.93,home_improvement,28088.74,secondary,761.6179851122799,0
822,55177.3,123390.6,25,employed,321006.81,home_improvement,31209.6,primary,1498.7589154197155,0
715,51670.53,208748.89,15,unemployed,303614.85,home_improvement,47999.58,primary,1194.7475754714983,0
784,49716.04,243322.29,20,employed,377196.56,purchase,17353.5,primary,567.3053736892596,0
704,68481.13,193831.32,15,self-employed,243844.8,purchase,25080.35,investment,933.8164887238586,0
786,56024.06,177332.03,25,unemployed,304491.1,home_improvement,35376.7,investment,863.354046662833,0
717,44173.53,250154.84,30,employed,380696.19,home_improvement,36643.92,investment,296.8298125999943,0
698,76091.68,186990.35,10,unemployed,127495.97,home_improvement,42692.43,investment,1235.5419694490784,0
678,49912.09,165893.36,10,employed,411309.15,purchase,16260.88,secondary,492.7787396994335,0
788,62044.0,166119.57,15,unemployed,206085.63,refinance,36621.53,investment,1974.2141620521907,0
747,64154.94,221639.27,30,employed,261092.81,home_improvement,40044.11,primary,1288.9563610535572,0
551,17650.31,77010.42,15,employed,180824.95,refinance,16086.03,investment,259.27812588484926,1
814,63817.28,228733.46,30,employed,298319.73,refinance,18152.79,secondary,1698.8558190590795,0
652,52549.15,207653.78,25,employed,302710.56,refinance,24801.39,investment,372.02224663495656,0
659,60325.04,140680.14,10,employed,255204.48,purchase,45072.29,primary,699.4370431211561,0
843,62887.14,154842.61,10,unemployed,216958.14,home_improvement,42197.29,primary,286.93343391782406,0
759,59308.27,201754.17,15,employed,265351.94,home_improvement,31542.66,primary,1323.6189719198592,0
737,68703.09,177010.29,10,employed,302551.0,home_improvement,35939.08,investment,718.6994028474423,0
807,61556.58,194482.26,15,employed,228432.59,home_improvement,12821.91,investment,765.3402433828478,0
788,43335.77,234412.11,30,employed,265884.41,refinance,18582.96,primary,1261.3443118113876,0
639,45641.23,187695.17,10,unemployed,300195.69,refinance,37647.78,secondary,1410.8105934755115,0
757,61800.21,210912.96,30,self-employed,377336.49,refinance,39739.89,investment,1676.529059053913,0
641,74604.73,217681.08,10,employed,267067.15,purchase,35492.53,secondary,1517.1476122840108,0
826,64058.18,195288.97,10,self-employed,263290.79,home_improvement,12959.69,secondary,1609.6261949487666,0
746,72030.55,202343.41,30,self-employed,438162.02,home_improvement,36268.73,investment,655.6169900767801,0
737,48450.04,153548.8,15,self-employed,241758.15,home_improvement,47831.83,primary,1442.7378520067448,0
806,33481.21,136278.26,25,employed,327350.35,purchase,30043.86,investment,1041.7667313341024,0
342,36811.57,283489.42,20,unemployed,283333.26,home_improvement,23872.64,investment,383.7457383114347,1
675,77913.91,188138.26,10,employed,346732.24,purchase,35901.57,investment,2432.7412803276115,0
436,22177.96,320702.56,30,self-employed,336825.87,refinance,18989.81,secondary,385.5083988051817,1
612,53189.13,219314.29,10,unemployed,315493.72,home_improvement,18167.54,secondary,567.0461908436475,0
445,43593.75,222370.51,15,employed,347003.05,refinance,18899.27,investment,1498.608190942233,1
665,59957.19,174751.91,25,unemployed,179396.24,home_improvement,25522.7,primary,1355.0632798898525,0
817,52922.9,234651.06,15,employed,332822.7,purchase,46220.96,investment,913.0827164236974,0
636,53305.46,237448.47,10,self-employed,277340.41,refinance,43582.2,secondary,1180.1022733218638,0
802,42854.67,214198.38,10,unemployed,215405.37,purchase,47752.72,secondary,905.732270029591,0
753,42305.53,230111.51,20,unemployed,359548.48,refinance,35702.69,investment,257.6657804286071,0
641,14504.05,319904.63,25,employed,225541.35,home_improvement,19631.06,primary,176.0110897829421,1
623,73556.0,227582.34,10,employed,329381.0,refinance,48957.87,secondary,1755.1794983957316,0
802,68767.6,181233.37,25,employed,391874.23,refinance,20143.4,primary,1757.7362335885678,0
791,50373.07,202820.78,25,unemployed,385113.94,home_improvement,13446.27,primary,1200.7885045267715,0
752,29562.1,150247.15,10,self-employed,208356.53,refinance,44790.93,primary,856.6078984339039,0
690,45955.73,178571.38,20,employed,262587.27,purchase,42373.76,secondary,288.8109213396786,0
765,36275.33,236031.71,15,unemployed,354172.21,home_improvement,48729.24,secondary,1070.4022599436219,0
691,59937.92,205439.35,10,self-employed,300851.86,purchase,37290.51,investment,1092.4620618628687,0
781,77300.05,209761.89,15,self-employed,197594.47,home_improvement,26025.45,investment,1751.049275597193,0
767,41620.33,202212.61,20,unemployed,323086.62,refinance,24963.93,investment,1170.533704196516,0
733,53646.97,214689.26,30,self-employed,166034.4,refinance,25415.4,secondary,1040.3680429081048,0
668,70228.85,162319.21,10,unemployed,345575.88,home_improvement,45331.29,primary,1031.4848931691204,0
619,39046.14,197575.58,10,unemployed,359441.05,home_improvement,12873.69,primary,1179.6840207085374,0
684,52857.74,214159.71,15,unemployed,367513.5,refinance,10398.18,secondary,1324.913614593794,0
673,58087.89,175555.64,30,employed,267257.88,refinance,26658.71,primary,911.4852295080744,0
600,54856.74,232597.84,20,self-employed,322148.84,home_improvement,20165.37,secondary,1160.198615966037,0
602,51286.66,180899.03,20,employed,347322.66,refinance,29955.83,primary,1695.0379448473568,0
633,33263.26,260957.29,15,employed,329591.73,refinance,22645.79,investment,261.90442805408526,0
775,27077.74,169051.59,10,self-employed,163451.28,purchase,34284.41,secondary,340.41715979125087,0
611,34109.52,211586.88,30,unemployed,329222.5,home_improvement,13351.53,secondary,654.6360880580271,0
719,49898.49,192810.02,25,self-employed,321272.62,home_improvement,29419.33,investment,588.2183792340355,0
818,62181.41,198797.54,30,unemployed,210531.63,purchase,33629.87,secondary,1748.2449444078527,0
609,46081.25,176938.59,30,self-employed,248421.58,purchase,42886.3,secondary,1320.2688989126132,0
693,44781.53,208358.28,15,unemployed,363671.18,home_improvement,42644.88,secondary,606.4182865671972,0
768,27430.86,188934.69,20,unemployed,301150.38,refinance,20609.65,investment,361.16957629574375,0
770,73431.54,181972.54,30,self-employed,355418.71,home_improvement,23848.24,secondary,1729.7166289595627,0
718,41775.0,236439.04,30,employed,318103.12,refinance,30546.23,secondary,1089.0563279108426,0
753,68822.88,197743.68,10,employed,397435.12,home_improvement,26175.48,investment,1456.030713783579,0
689,62659.92,170015.06,25,self-employed,296152.55,purchase,15628.24,primary,932.4614022577152,0
747,59040.87,166367.93,20,self-employed,321923.48,purchase,29491.48,primary,1958.8124343091213,0
847,92937.18,171301.97,25,employed,365899.59,purchase,19178.53,primary,516.1765033316456,0
613,68959.06,203877.12,25,employed,292742.62,home_improvement,20120.65,investment,1740.9097755231887,0
647,33301.04,180617.27,20,employed,188924.38,purchase,35765.11,secondary,791.9968143139652,0
618,40246.92,204507.39,25,unemployed,345801.05,purchase,36197.03,investment,694.2714500732708,0
824,50703.97,179740.35,20,unemployed,257443.59,refinance,13803.11,primary,222.86561601688564,0
786,42093.33,209245.99,15,self-employed,343630.89,refinance,46969.46,investment,377.23556985134485,0
664,41842.74,173508.03,20,unemployed,343320.06,purchase,34605.61,investment,1386.9738303955844,0
616,40967.33,178767.77,10,employed,273326.03,refinance,25938.16,secondary,1096.6738421081327,0
803,43436.19,233482.17,30,self-employed,403844.1,home_improvement,25894.52,investment,1331.2714238276403,0
665,62322.49,198431.93,30,unemployed,395901.85,home_improvement,28293.04,investment,1281.6167807152765,0
734,52699.64,201694.7,15,self-employed,370267.71,home_improvement,30182.85,primary,445.6578599689641,0
650,43329.68,223145.79,30,self-employed,254839.3,home_improvement,11389.97,secondary,1331.9358925654024,0
646,70960.23,163457.59,20,employed,268339.86,home_improvement,42148.85,primary,950.999096587639,0
839,83219.43,205340.41,20,employed,335984.21,purchase,48284.76,secondary,1732.4629363674323,0
770,42588.81,190879.99,25,employed,228323.28,home_improvement,36351.77,primary,506.04389799876043,0
712,42881.55,212085.07,15,employed,344149.71,refinance,31319.04,primary,1024.5131766504019,0
738,33949.16,223465.21,25,self-employed,287178.11,refinance,36285.15,primary,601.1818445483467,0
765,43886.42,227520.1,30,unemployed,174371.15,refinance,15496.29,primary,899.2661905250776,0
802,74065.7,171704.47,20,self-employed,313777.43,refinance,46831.28,investment,1388.4544076784146,0
822,69813.06,289782.16,10,unemployed,275339.36,home_improvement,38334.36,primary,944.6975536658457,0
835,49339.39,219792.43,20,employed,247758.51,home_improvement,15380.44,investment,379.91450717900585,0
786,60689.09,194278.24,15,self-employed,373687.19,home_improvement,47184.74,primary,278.00037660351023,0
701,53943.97,222658.1,30,self-employed,263273.51,refinance,14543.93,secondary,1326.7650883260142,0
798,51461.44,169751.71,30,employed,369597.06,home_improvement,35606.78,investment,713.0070578356654,0
789,52818.27,264920.73,20,unemployed,373227.21,home_improvement,44622.99,investment,377.45454325057693,0
798,51910.21,249857.57,15,self-employed,290624.82,purchase,10236.88,investment,463.6761073058293,0
815,37066.27,120219.91,20,employed,266324.28,home_improvement,39318.46,primary,411.0158437648555,0
641,50290.94,170689.44,25,unemployed,401936.65,refinance,35842.01,investment,1597.902806235371,0
648,17666.05,245867.64,25,employed,189355.28,refinance,38849.67,primary,493.6161699587442,0
468,19941.86,94392.38,25,unemployed,274018.22,home_improvement,17659.53,investment,817.5632123494197,1
661,46642.21,201883.38,20,employed,300609.43,home_improvement,42159.69,investment,1158.0797683608835,0
818,69215.85,172016.74,20,self-employed,337654.88,purchase,43437.22,secondary,303.04936387273585,0
832,43529.94,198312.82,10,self-employed,240417.95,purchase,32974.35,secondary,1385.6591468461406,0
841,52317.01,132035.86,15,employed,269878.29,refinance,30944.81,primary,1648.821243067845,0
645,66865.12,189976.21,25,self-employed,262567.74,refinance,18361.77,investment,772.2035200194177,0
774,67003.71,186125.79,25,self-employed,268114.89,home_improvement,40722.79,secondary,659.5545566031741,0
632,72954.64,203336.58,20,self-employed,324447.32,refinance,23726.3,investment,1452.365526078907,0
755,68909.64,217443.38,30,employed,318344.27,home_improvement,15412.87,investment,1096.5127327350847,0
691,68076.33,187403.81,15,self-employed,266259.26,refinance,33673.18,primary,1951.7946920980396,0
668,50611.23,174092.1,10,self-employed,317755.08,refinance,26174.42,primary,749.077434855695,0
652,63183.4,190553.02,30,self-employed,296489.31,refinance,49124.39,primary,562.8240626620673,0
848,60480.98,178629.95,30,unemployed,369081.9,home_improvement,45619.59,investment,1162.7601281418,0
698,31653.27,228790.17,25,unemployed,257056.49,home_improvement,46075.31,primary,962.5895664807545,0
715,62768.34,162198.87,25,self-employed,296078.0,refinance,28299.3,secondary,1668.1158434671047,0
667,40897.99,183619.88,20,self-employed,255599.97,purchase,25907.01,secondary,878.3189454404226,0
690,72648.48,221794.08,30,employed,358840.81,home_improvement,21946.98,primary,2340.730854427541,0
825,66848.34,151121.5,20,unemployed,327117.93,refinance,43256.98,investment,1024.4281006123488,0
849,53609.14,167553.08,20,unemployed,241980.2,purchase,16097.9,primary,1284.4764294489814,0
680,64384.85,237673.42,15,self-employed,335301.74,purchase,13065.13,investment,472.5386222016368,0
740,48328.05,153198.89,25,employed,232491.35,refinance,32761.16,secondary,704.954966365582,0
616,43906.44,222890.31,15,self-employed,238191.08,purchase,15110.49,secondary,1273.1455078251981,0
